"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016"
"V8C","V8C","British Columbia",,8131,4244,3500
"V8G","V8G","British Columbia",,19144,8350,7675
"V8J","V8J","British Columbia",,12275,5746,4959
"V8K","V8K","British Columbia",,10561,5890,4845
"V8L","V8L","British Columbia",,23422,11227,10389
"V8M","V8M","British Columbia",,16168,6940,6695
"V8N","V8N","British Columbia",,25065,10410,9509
"V8P","V8P","British Columbia",,18167,8262,7695
"V8R","V8R","British Columbia",,23572,11244,10771
"V8S","V8S","British Columbia",,17102,8498,8027
"V8T","V8T","British Columbia",,20136,10141,9643
"V8V","V8V","British Columbia",,25892,16525,15380
"V8W","V8W","British Columbia",,5201,4105,3268
"V8X","V8X","British Columbia",,23811,10779,10323
"V8Y","V8Y","British Columbia",,9830,4189,3998
"V8Z","V8Z","British Columbia",,31079,12569,12095
"V9A","V9A","British Columbia",,38699,20174,19320
"V9B","V9B","British Columbia",,44244,18576,17747
"V9C","V9C","British Columbia",,22785,9135,8697
"V9E","V9E","British Columbia",,5155,2141,2035
"V9G","V9G","British Columbia",,14772,6599,6329
"V9H","V9H","British Columbia",,9304,3971,3758
"V9J","V9J","British Columbia",,8715,3810,3566
"V9K","V9K","British Columbia",,15654,8095,7249
"V9L","V9L","British Columbia",,34378,14974,14272
"V9M","V9M","British Columbia",,17208,7923,7639
"V9N","V9N","British Columbia",,30080,13970,13586
"V9P","V9P","British Columbia",,25359,12691,11946
"V9R","V9R","British Columbia",,28376,13330,12610
"V9S","V9S","British Columbia",,16641,8466,7996
"V9T","V9T","British Columbia",,33103,14084,13690
"V9V","V9V","British Columbia",,10934,4483,4347
"V9W","V9W","British Columbia",,28743,13319,12714
"V9X","V9X","British Columbia",,10300,4133,3992
"V9Y","V9Y","British Columbia",,25269,12381,11417
"V9Z","V9Z","British Columbia",,17456,7827,7137
"X0A","X0A","Nunavut/Northwest Territories",,18958,6541,5510
"X0B","X0B","Nunavut/Northwest Territories",,6543,1869,1663
"X0C","X0C","Nunavut/Northwest Territories",,10443,3023,2646
"X0E","X0E","Nunavut/Northwest Territories",,21232,9363,7499
"X0G","X0G","Nunavut/Northwest Territories",,500,210,164
"X1A","X1A","Nunavut/Northwest Territories",,20054,8093,7318
"Y0A","Y0A","Yukon",,1641,1002,742
"Y0B","Y0B","Yukon",,6561,4870,3122
"Y1A","Y1A","Yukon",,27672,12115,11351

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm."

"Source: Statistics Canada, 2016 Census of Population."
"How to cite: Statistics Canada. 2017. Population and Dwelling Count Highlight Tables. 2016 Census."
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017."

